iter	Passed	Remaining
0	718	358497
1	1343	334600
2	1927	319275
3	2533	314108
4	3071	304102
5	3644	300044
6	4116	289948
7	4621	284240
8	5144	280656
9	5641	276446
10	6164	274043
11	6656	270697
12	7186	269223
13	7683	266740
14	8166	264064
15	8640	261384
16	9083	258088
17	9628	257821
18	10155	257097
19	10634	255231
20	11045	251952
21	11554	251040
22	12020	249296
23	12482	247562
24	12953	246119
25	13453	245265
26	13967	244698
27	14405	242831
28	14836	240960
29	15317	239969
30	15743	238186
31	16244	237573
32	16781	237485
33	17210	235890
34	17685	234971
35	18201	234593
36	18609	232864
37	19141	232722
38	19533	230891
39	20001	230020
40	20471	229183
41	20959	228559
42	21429	227749
43	21878	226745
44	22327	225756
45	22804	225070
46	23204	223649
47	23608	222317
48	24058	221435
49	24518	220663
50	24917	219374
51	25394	218780
52	25833	217879
53	26339	217544
54	26832	217098
55	27310	216532
56	27763	215778
57	28198	214892
58	28618	213911
59	29106	213450
60	29593	212975
61	29995	211903
62	30435	211114
63	30901	210515
64	31361	209882
65	31855	209477
66	32234	208323
67	32696	207720
68	33190	207321
69	33615	206496
70	34065	205834
71	34537	205306
72	34998	204718
73	35501	204374
74	35961	203783
75	36349	202792
76	36738	201823
77	37187	201192
78	37615	200458
79	38024	199629
80	38510	199207
81	38874	198163
82	39341	197656
83	39754	196879
84	40154	196050
85	40623	195557
86	41098	195100
87	41498	194288
88	41941	193685
89	42343	192897
90	42762	192195
91	43217	191662
92	43583	190736
93	44101	190479
94	44532	189847
95	44989	189332
96	45378	188531
97	45818	187948
98	46317	187609
99	46666	186667
100	47150	186267
101	47641	185895
102	48109	185430
103	48589	185012
104	49015	184391
105	49528	184094
106	49994	183623
107	50419	183004
108	50861	182448
109	51340	182026
110	51748	181351
111	52184	180782
112	52677	180409
113	53167	180023
114	53590	179411
115	54073	179001
116	54596	178721
117	55020	178118
118	55431	177474
119	55781	176639
120	56228	176121
121	56637	175484
122	57074	174936
123	57468	174259
124	57913	173739
125	58375	173274
126	58838	172809
127	59306	172358
128	59728	171778
129	60117	171104
130	60664	170879
131	61136	170440
132	61613	170016
133	62114	169655
134	62554	169129
135	62946	168474
136	63431	168070
137	63885	167584
138	64391	167233
139	64797	166622
140	65277	166202
141	65713	165672
142	66124	165079
143	66488	164373
144	66897	163783
145	67363	163334
146	67745	162680
147	68209	162229
148	68639	161693
149	69058	161136
150	69541	160729
151	70056	160392
152	70460	159802
153	70909	159316
154	71353	158818
155	71886	158518
156	72353	158072
157	72807	157596
158	73186	156959
159	73651	156510
160	74086	155995
161	74536	155514
162	74957	154972
163	75378	154434
164	75805	153907
165	76231	153381
166	76691	152924
167	77142	152448
168	77554	151896
169	77934	151285
170	78376	150794
171	78866	150396
172	79287	149867
173	79709	149341
174	80152	148855
175	80671	148509
176	81093	147984
177	81557	147535
178	81987	147027
179	82422	146528
180	82878	146067
181	83273	145500
182	83713	145012
183	84194	144594
184	84554	143971
185	84971	143446
186	85341	142843
187	85755	142318
188	86197	141838
189	86663	141397
190	87149	140991
191	87573	140482
192	88024	140017
193	88491	139580
194	88831	138940
195	89307	138518
196	89735	138018
197	90217	137604
198	90662	137133
199	91180	136770
200	91614	136281
201	92061	135813
202	92574	135441
203	93058	135026
204	93465	134499
205	93903	134017
206	94370	133577
207	94783	133061
208	95230	132593
209	95633	132064
210	96048	131554
211	96475	131061
212	96942	130621
213	97430	130210
214	97831	129682
215	98263	129198
216	98721	128747
217	99112	128209
218	99552	127736
219	99978	127245
220	100422	126778
221	100866	126310
222	101312	125845
223	101804	125437
224	102237	124956
225	102738	124559
226	103264	124190
227	103673	123680
228	104116	123211
229	104548	122731
230	104986	122257
231	105481	121849
232	105969	121433
233	106431	120986
234	106872	120516
235	107281	120009
236	107734	119553
237	108160	119066
238	108585	118580
239	109029	118115
240	109455	117630
241	109902	117169
242	110343	116700
243	110773	116220
244	111204	115743
245	111649	115280
246	112063	114785
247	112515	114330
248	112958	113865
249	113384	113384
250	113863	112956
251	114286	112472
